CODIGO;NOMBRE;CATEGORIA;TECNOLOGIA;ALTITUD;LATITUD;LONGITUD;DEPARTAMENTO;MUNICIPIO;AREA_HIDROGRAFICA;ZONA_HIDROGRAFICA;SUBZONA_HIDROGRAFICA
11010010;LA VUELTA [11010010];Pluviométrica;Convencional;98;5.4589444440;-76.5447222220;Choco;Cértegui;Caribe;Atrato - Darién;Río Andágueda
11017010;AGUASAL [11017010];Limnimétrica;Convencional;75;5.4739438890;-76.5378611110;Choco;Lloró;Caribe;Atrato - Darién;Río Andágueda
11017020;BAGADO [11017020];Limnigráfica;Automática con Telemetría;90;5.4120;-76.4178888890;Choco;Bagadó;Caribe;Atrato - Darién;Río Andágueda
11020010;CARMEN DE ATRATO [11020010];Pluviométrica;Convencional;1850;5.9085277780;-76.14208333;Choco;El Carmen;Caribe;Atrato - Darién;Alto Atrato
11020020;GUADUAS [11020020];Pluviométrica;Convencional;1500;5.7666666670;-76.18333333;Choco;El Carmen;Caribe;Atrato - Darién;Alto Atrato
11020050;EL PINON [11020050];Pluviométrica;Convencional;715;5.7576666670;-76.25086111;Choco;El Carmen;Caribe;Atrato - Darién;Alto Atrato
11025010;LA MANSA [11025010];Climática Ordinaria;Convencional;2018;5.8783055560;-76.08433333;Antioquia;Ciudad Bolívar;Caribe;Atrato - Darién;Alto Atrato
11027010;PUENTE LAS SANCHEZ [11027010];Limnimétrica;Convencional;2000;5.8519722220;-76.18080556;Choco;El Carmen;Caribe;Atrato - Darién;Alto Atrato
11027020;OCHO EL [11027020];Limnimétrica;Convencional;900;5.85;-76.25;Choco;El Carmen;Caribe;Atrato - Darién;Alto Atrato
11027030;EL SIETE [11027030];Limnigráfica;Automática con Telemetría;2300;5.8620;-76.15205556;Choco;El Carmen;Caribe;Atrato - Darién;Alto Atrato
11027040;ARRAYANES LOS [11027040];Limnigráfica;Convencional;1500;5.80;-76.30;Choco;El Carmen;Caribe;Atrato - Darién;Alto Atrato
11027050;GINDRAMA [11027050];Limnigráfica;Automática con Telemetría;75;5.5215555560;-76.51772222;Choco;Lloró;Caribe;Atrato - Darién;Alto Atrato
11027060;PINON EL [11027060];Limnimétrica;Convencional;1350;5.7333333330;-76.36666667;Choco;El Carmen;Caribe;Atrato - Darién;Alto Atrato
11027070;BORAUDO [11027070];Limnigráfica;Automática con Telemetría - Convencional;78;5.5146111110;-76.57569444;Choco;Lloró;Caribe;Atrato - Darién;Río Cabi y otros Directos Atrato (md)
11030010;CERTEGUI [11030010];Pluviométrica;Automática con Telemetría - Convencional;72;5.38;-76.61;Choco;Cértegui;Caribe;Atrato - Darién;Río Quito
11030030;MANAGRU [11030030];Pluviométrica;Convencional;64;5.3341666670;-76.72813889;Choco;El Cantón Del San Pablo (Managrú);Caribe;Atrato - Darién;Río Quito
11030040;PAIMADO [11030040];Pluviométrica;Convencional;35;5.4816111110;-76.74086111;Choco;Rio Quito (Paimadó);Caribe;Atrato - Darién;Río Quito
11030070;LOMA LA PUEBLO NUEVO [11030070];Pluviográfica;Convencional;72;5.5846666670;-76.7532777780;Choco;Rio Quito (Paimadó);Caribe;Atrato - Darién;Río Quito
11035010;LLORO [11035010];Climática Principal;Automática con Telemetría - Convencional;41;5.51;-76.58;Choco;Lloró;Caribe;Atrato - Darién;Río Quito
11035020;SAN ISIDRO [11035020];Pluviométrica;Convencional;53;5.6261666670;-76.74972222;Choco;Rio Quito (Paimadó);Caribe;Atrato - Darién;Río Quito
11035030;UNION PANAMERICANA - AUT  [11035030];Climática Ordinaria;Automática con Telemetría;110;5.2848277780;-76.6278222220;Choco;Unión Panamericana ( Animas);Caribe;Atrato - Darién;Río Quito
11037010;SAN ISIDRO [11037010] ;Limnimétrica;Convencional;53;5.626250;-76.7497219440;Choco;Rio Quito (Paimadó);Caribe;Atrato - Darién;Río Quito
11037020;PUENTE CERTEGUI [11037020];Limnigráfica;Convencional;77;5.374750;-76.613250;Choco;Cértegui;Caribe;Atrato - Darién;Río Quito
11037030;LA LOMA PUEBLO [11037030];Limnigráfica;Automática con Telemetría;72;5.5846666670;-76.75327778;Choco;Rio Quito (Paimadó);Caribe;Atrato - Darién;Río Quito
11040010;TUTUNENDO [11040010];Pluviométrica;Convencional;54;5.7436111110;-76.53780556;Choco;Quibdó;Caribe;Atrato - Darién;Río Bebaramá y otros Directos Atrato (md)
11045010;AEROPUERTO EL CARAÑO [11045010];Sinóptica Principal;Automática con Telemetría;75;5.6905555560;-76.64377778;Choco;Quibdó;Caribe;Atrato - Darién;Río Cabi y otros Directos Atrato (md)
11045030;HUAPANGO [11045030];Climática Ordinaria;Convencional;50;5.70;-76.63333333;Choco;Quibdó;Caribe;Atrato - Darién;Río Cabi y otros Directos Atrato (md)
11047010;BELEN [11047010];Limnigráfica;Automática con Telemetría - Convencional;26;5.7648333330;-76.66966667;Choco;Quibdó;Caribe;Atrato - Darién;Río Cabi y otros Directos Atrato (md)
11047020;QUIBDO [11047020];Limnigráfica;Automática con Telemetría;21;5.6977780560;-76.6622222220;Choco;Quibdó;Caribe;Atrato - Darién;Río Cabi y otros Directos Atrato (md)
11047030;NEGUA [11047030];Limnimétrica;Convencional;35;5.8281688890;-76.6180166670;Choco;Quibdó;Caribe;Atrato - Darién;Río Bebaramá y otros Directos Atrato (md)
11047040;QUIBDO [11047040];Limnigráfica;Automática con Telemetría;21;5.6977780560;-76.66222222;Choco;Quibdó;Caribe;Atrato - Darién;Río Cabi y otros Directos Atrato (md)
11050010;TAGACHI [11050010];Pluviométrica;Convencional;20;6.2217777780;-76.72702778;Choco;Quibdó;Caribe;Atrato - Darién;Directos Atrato entre ríos Bebaramá y Murrí (md)
11050020;BETE [11050020];Pluviométrica;Convencional;25;5.9947222220;-76.78002778;Choco;Medio Atrato (Beté);Caribe;Atrato - Darién;Directos Atrato entre ríos Quito y Bojayá (mi)
11050030;EL BUEY [11050030];Pluviométrica;Convencional;25;6.1025;-76.82136111;Choco;Medio Atrato (Beté);Caribe;Atrato - Darién;Directos Atrato entre ríos Quito y Bojayá (mi)
11050040;CALAORRA [11050040];Pluviométrica;Convencional;50;5.7666666670;-76.85;Choco;Quibdó;Caribe;Atrato - Darién;Directos Atrato entre ríos Quito y Bojayá (mi)
11050060;ALTO DEL BUEY [11050060];Pluviométrica;Convencional;100;6.1083333330;-76.91563889;Choco;Medio Atrato (Beté);Caribe;Atrato - Darién;Directos Atrato entre ríos Quito y Bojayá (mi)
11057010;TAGACHI [11057010];Limnimétrica;Convencional;18;6.2166666670;-76.71666667;Choco;Quibdó;Caribe;Atrato - Darién;Directos Atrato entre ríos Bebaramá y Murrí (md)
11057020;SAN ANTONIO PADUA [11057020];Limnigráfica;Automática con Telemetría;18;6.2866666670;-76.76180556;Antioquia;Vigia Del Fuerte;Caribe;Atrato - Darién;Directos Atrato entre ríos Bebaramá y Murrí (md)
11060010;BUCHADO [11060010];Pluviométrica;Convencional;18;6.42;-76.77927778;Antioquia;Vigia Del Fuerte;Caribe;Atrato - Darién;Directos Atrato entre ríos Bebaramá y Murrí (md)
11070010;PLAYA LA-MURRY [11070010] ;Pluviométrica;Convencional;22;6.6166669440;-76.75;Antioquia;Vigia Del Fuerte;Caribe;Atrato - Darién;Río Murrí
11070020;EL ROBLE [11070020];Pluviométrica;Convencional;1496;6.3320516670;-76.229145;Antioquia;Urrao;Caribe;Atrato - Darién;Río Murrí
11070030;LA CLARITA [11070030];Pluviométrica;Convencional;2300;6.5394444440;-76.15861111;Antioquia;Urrao;Caribe;Atrato - Darién;Río Murrí
11070040;URRAO [11070040];Pluviométrica;Convencional;1875;6.3333333330;-76.16666667;Antioquia;Urrao;Caribe;Atrato - Darién;Río Murrí
11070130;BRECHON EL [11070130];Pluviométrica;Convencional;2320;6.1333333330;-76.03333333;Antioquia;Urrao;Caribe;Atrato - Darién;Río Murrí
11075010;HONDA LA [11075010];Climática Ordinaria;Convencional;1850;6.3563888890;-76.15805556;Antioquia;Urrao;Caribe;Atrato - Darién;Río Murrí
11075020;URRAO [11075020];Climática Ordinaria;Convencional;1833;6.2983055560;-76.1433055560;Antioquia;Urrao;Caribe;Atrato - Darién;Río Murrí
11077010;BELLAVISTA  [11077010];Limnimétrica;Convencional;12;6.5588055560;-76.88447222;Choco;Bojayá (Bellavista);Caribe;Atrato - Darién;Directos Atrato entre ríos Quito y Bojayá (mi)
11077020;LA MAGDALENA [11077020];Limnigráfica;Automática con Telemetría;1770;6.2983611110;-76.13447222;Antioquia;Urrao;Caribe;Atrato - Darién;Río Murrí
11077030;PLAYA LA [11077030];Limnimétrica;Convencional;22;6.6166666670;-76.75;Antioquia;Vigia Del Fuerte;Caribe;Atrato - Darién;Río Murrí
11080010;BELLAVISTA [11080010];Climática Ordinaria;Automática con Telemetría;18;6.5591666670;-76.88541667;Choco;Bojayá (Bellavista);Caribe;Atrato - Darién;Directos Atrato entre ríos Quito y Bojayá (mi)
11080030;LOMA LA-BOJAYA [11080030];Pluviométrica;Convencional;20;6.5333330560;-76.9833327780;Choco;Bojayá (Bellavista);Caribe;Atrato - Darién;Río Bojayá
11085010;LOMA LA [11085010];Agrometeorológica;Convencional;20;6.5333333330;-76.98333333;Choco;Bojayá (Bellavista);Caribe;Atrato - Darién;Río Bojayá
11090010;OPOGADO [11090010];Pluviométrica;Convencional;50;6.8125277780;-76.97272222;Choco;Bojayá (Bellavista);Caribe;Atrato - Darién;Río Napipí - Río Opogadó
11100010;VIGIA DE CURVARADO [11100010];Pluviométrica;Convencional;25;7.0833333330;-76.91666667;Choco;Carmen Del Darién  (Curbaradó);Caribe;Atrato - Darién;Río Murindó - Directos al Atrato
11100020;DOMINGODO [11100020];Pluviométrica;Convencional;4;7.18;-77.03;Choco;Carmen Del Darién  (Curbaradó);Caribe;Atrato - Darién;Río Sucio
11100030;MURINDO [11100030];Pluviométrica;Convencional;23;7;-76.75;Antioquia;Murindó;Caribe;Atrato - Darién;Río Murindó - Directos al Atrato
11105010;MURINDO [11105010];Climática Ordinaria;Convencional;23;6.9666666670;-76.75;Antioquia;Murindó;Caribe;Atrato - Darién;Río Murindó - Directos al Atrato
11105020;CARMEN DEL DARIEN [11105020];Climática Ordinaria;Automática con Telemetría;18;7.1543333330;-76.97719444;Choco;Carmen Del Darién  (Curbaradó);Caribe;Atrato - Darién;Río Sucio
11107010;DOMINGODO [11107010];Limnimétrica;Convencional;4;7.18;-77.03;Choco;Carmen Del Darién  (Curbaradó);Caribe;Atrato - Darién;Río Sucio
11110010;NORMAL SANTA TERESA AUT [11110010];Climática Ordinaria;Automática con Telemetría - Convencional;1429;6.7633333330;-76.13361111;Antioquia;Frontino;Caribe;Atrato - Darién;Río Sucio
11110020;ABRIAQUI [11110020];Pluviométrica;Convencional;1920;6.6425;-76.0750;Antioquia;Abriaquí;Caribe;Atrato - Darién;Río Sucio
11110030;FUEMIA [11110030];Pluviométrica;Convencional;1046;6.857890;-76.2523194440;Antioquia;Dabeiba;Caribe;Atrato - Darién;Río Sucio
