CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-01 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-02 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-03 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-04 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-05 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-06 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-07 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-08 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-09 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-10 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-11 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-12 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-13 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-14 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-15 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-16 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-17 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-18 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-19 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-20 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-21 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-22 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-23 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-24 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-25 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-26 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),1941-01-27 00:00,mm,0,Definitivo
